rankdate,Mkt,LLTG_RET,HLTG_RET,LLTG_error,HLTG_error
199308,0.039496,0.0295726510551434,0.0446143247281387,-0.0723013139896045,-0.1292710125113
199309,0.000629,-0.0165651885438843,-0.00743516036220739,-0.0718939065821971,-0.119253255548992
199310,0.018051,0.0160619468454318,0.0240133987264619,-0.0609384666307408,-0.105354851913408
199311,-0.0176,-0.0159788875218298,0.0114145160315877,-0.0758176684962556,-0.139010996524035
199312,0.019554,0.0120717494694737,-0.0012093616800941,-0.0613528227345479,-0.128374638715579
199401,0.031459,0.021662631306589,0.0131419781359033,-0.0674394239989525,-0.144999507333176
199402,-0.024207,-0.0567068745268055,0.0199080151420713,0.00439835438484217,-0.121193117659786
199403,-0.045795,-0.0400369199309374,-0.0569911338382042,0.014408672567332,-0.117473028431059
199404,0.009495,0.0223615035183614,-0.00699174335659157,0.0128586611555821,-0.153050619746466
199405,0.009353,-0.0143392332926217,-0.00534844319539011,-0.000664366586189426,-0.134362026386584
199406,-0.02788,-0.0303847452494182,-0.0284617371928992,-0.00797786111091689,-0.149958126059802
199407,0.030657,0.0311714764928899,0.037689924732431,-0.00705850627220721,-0.167001079193137
199408,0.042629,0.0228095343382991,0.0536055113247475,0.00310958742323828,-0.190668713489598
199409,-0.018338,-0.0283794621639719,-0.0156243219771438,-0.00701190968779748,-0.179117936370943
199410,0.014521,-0.00334422465462146,0.043657130794009,0.00450451543214475,-0.179074158597567
199411,-0.037206,-0.0149067210585635,-0.014283562106277,0.000152574589612067,-0.196247949467503
199412,0.01258,0.0163277887965207,-0.00557829233097345,0.00686750763116024,-0.203667836271375
199501,0.020353,0.0549700770931711,0.0269996581135959,-0.00971409356364281,-0.203587187739555
199502,0.039647,0.0141351800790841,0.0400409022901111,-0.00370315567727366,-0.271857405927743
199503,0.027064,0.0032437756481828,0.0380993866365624,0.0145523997364609,-0.283744115620212
199504,0.025048,0.031303867622462,0.0357464196045348,0.0332114426875319,-0.298391380204333
199505,0.033909,0.0433309401531398,0.0408136684337333,0.0302829670314669,-0.29603331651883
199506,0.031142,0.00185214020617592,0.0727428455088071,0.0372223943980935,-0.268950855114544
199507,0.040801,0.0158637711442814,0.0610900837361663,0.0398766939974406,-0.27046984089246
199508,0.0093,0.00895833051664452,-0.0027704136438998,0.00287832703526658,-0.279195025192468
199509,0.036354,0.0469509192872879,0.0189945545023442,0.00707693013993096,-0.259646450185016
199510,-0.011339,-0.00223704918284113,0.0152211743011255,-0.012727123681969,-0.254060597739196
199511,0.042771,0.0143962309363294,0.00177341259282242,0.0283763243647694,-0.256737354719624
